domain,count,url,status_code
dashboard.hawaii.gov,1090,http://dashboard.hawaii.gov,403
data.buffalony.gov,226,http://data.buffalony.gov,0
andoverma.data.socrata.com,1,https://andoverma.data.socrata.com/,200
austintexas-op-beta.demo.socrata.com,13,https://austintexas-op-beta.demo.socrata.com/,200
performance.cityofhenderson.com,120,https://performance.cityofhenderson.com/login,200
rrps.data.socrata.com,4,https://rrps.data.socrata.com/,200
cityoffairbanks.data.socrata.com,0,http://cityoffairbanks.data.socrata.com,0
census.data.commerce.gov,212,https://census.data.commerce.gov/,200
performance-archive.cookcountyil.gov,279,https://performance-archive.cookcountyil.gov/,200
data.hawaii.gov,1314,http://data.hawaii.gov,403
college-station-tx.demo.socrata.com,0,https://college-station-tx.demo.socrata.com/,200
wccusd.data.socrata.com,4,https://wccusd.data.socrata.com/,200
data.ramseycounty.us,378,https://data.ramseycounty.us/login,200
stpetersburg-op-beta.demo.socrata.com,0,https://stpetersburg-op-beta.demo.socrata.com/,200
newcastle-internal.data.socrata.com,0,https://newcastle-internal.data.socrata.com/login,200
baycountymi.data.socrata.com,10,https://baycountymi.data.socrata.com/,200
oaisd.data.socrata.com,0,https://oaisd.data.socrata.com/login,200
openpaymentsdata.cms.gov,25,https://openpaymentsdata.cms.gov/,200
cthru.data.socrata.com,722,https://cthru.data.socrata.com/,200
performance.cityofcamas.us,414,https://performance.cityofcamas.us/,200
alexandercountync.data.socrata.com,5,https://alexandercountync.data.socrata.com/,200
townofdennis.data.socrata.com,0,https://townofdennis.data.socrata.com/,200
data.medicaid.gov,3612,http://data.medicaid.gov,0
performance.ci.janesville.wi.us,210,http://performance.ci.janesville.wi.us,0
data.lacounty.gov,607,http://data.lacounty.gov,0
sanbernardino-covid-19-response.data.socrata.com,4,https://sanbernardino-covid-19-response.data.socrata.com/login,200
mcala.data.socrata.com,0,https://mcala.data.socrata.com/,200
jerseyvillagetx.data.socrata.com,10,https://jerseyvillagetx.data.socrata.com/,200
data.weho.org,86,https://data.weho.org/,200
northbayvillagefl.data.socrata.com,20,http://northbayvillagefl.data.socrata.com,0
internal-ct.data.socrata.com,1,https://internal-ct.data.socrata.com/login,200
data.roseville.ca.us,41,https://data.roseville.ca.us/,200
cutlerbay-fl.data.socrata.com,1,http://cutlerbay-fl.data.socrata.com,0
usc.data.socrata.com,471,https://usc.data.socrata.com/,200
data.albanyny.gov,54,http://data.albanyny.gov,0
data.smcgov.org,50,https://data.smcgov.org/,200
data.edd.ca.gov,492,https://data.edd.ca.gov/,200
plymouth-ma.data.socrata.com,6,https://plymouth-ma.data.socrata.com/,200
albany.data.socrata.com,5,https://albany.data.socrata.com/,200
data.calgary.ca,778,http://data.calgary.ca,0
sidneyoh.data.socrata.com,2,http://sidneyoh.data.socrata.com,0
performance.cityofdavenportiowa.com,82,https://performance.cityofdavenportiowa.com/,200
newcastle.data.socrata.com,3,http://newcastle.data.socrata.com,0
data.everettwa.gov,222,https://data.everettwa.gov/,200
austin-tara.data.socrata.com,6,https://austin-tara.data.socrata.com/login,200
data.redmond.gov,48,https://data.redmond.gov/,200
data.miamigov.com,13,https://data.miamigov.com/,200
missouricitytx.data.socrata.com,1,https://missouricitytx.data.socrata.com/,200
soquelcreekwdca.data.socrata.com,14,https://soquelcreekwdca.data.socrata.com/,200
brec.data.socrata.com,0,https://brec.data.socrata.com/,200
insights.cincinnati-oh.gov,65,https://insights.cincinnati-oh.gov/stories/s/Cincinnati-INsights/s59x-yqy3,200
ethica-pr.data.socrata.com,0,https://ethica-pr.data.socrata.com/,200
garfieldcountyco.data.socrata.com,0,https://garfieldcountyco.data.socrata.com/,200
data.texas.gov,1258,https://data.texas.gov/,200
data.baltimorecity.gov,2368,https://data.baltimorecity.gov/,200
pinellasparkpd.data.socrata.com,6,https://pinellasparkpd.data.socrata.com/,200
caravanstudios.data.socrata.com,5,https://caravanstudios.data.socrata.com/,200
camden.demo.socrata.com,20,https://camden.demo.socrata.com/,200
boulderco.data.socrata.com,4,http://boulderco.data.socrata.com,0
murfreesboro.data.socrata.com,6,http://murfreesboro.data.socrata.com,0
purcellville.data.socrata.com,8,https://purcellville.data.socrata.com/,200
ogdencity.data.socrata.com,6,https://ogdencity.data.socrata.com/,200
orangecountync.data.socrata.com,0,https://orangecountync.data.socrata.com/,200
performance.seattle.gov,1128,https://performance.seattle.gov/stories/s/596j-asv2,200
internal-columbusschools.data.socrata.com,0,https://internal-columbusschools.data.socrata.com/login,200
healthstat-sbcounty-staging.data.socrata.com,1,https://healthstat-sbcounty-staging.data.socrata.com/,200
www.datos.gov.co,10731,https://www.datos.gov.co/,200
brookhavenga.data.socrata.com,3,https://brookhavenga.data.socrata.com/,200
shawneesheriff.data.socrata.com,18,https://shawneesheriff.data.socrata.com/,200
data.datacenterresearch.org,46,https://data.datacenterresearch.org/,200
performance.franklintn.gov,151,https://performance.franklintn.gov/,200
data.princegeorgescountymd.gov,77,https://data.princegeorgescountymd.gov/,200
data.nola.gov,240,https://datadriven.nola.gov/home/,200
